Geneid	../bam/americana_AG_1.bam	../bam/americana_AG_2.bam	../bam/americana_AG_3.bam	../bam/americana_carcass_1.bam	../bam/americana_carcass_2.bam	../bam/americana_carcass_3.bam	../bam/americana_EB_1.bam	../bam/americana_EB_2.bam	../bam/americana_testes_1.bam	../bam/americana_testes_2.bam	../bam/americana_testes_3.bam	../bam/DameSB_fem.bam	../bam/DameSB_mal.bam
MSTRG.14496	2	22	115	9170	15720	47791	60	4	3	7	3	18251	91100
MSTRG.14497	7	16	24	1330	1659	2753	12	2	0	4	2	6615	10948
MSTRG.14498	109	97	120	867	620	983	1	2	0	1	0	5447	12232
MSTRG.14499	49467	44525	33666	194	30	30	42	380	49	43	66	1	2422
MSTRG.14500	6	33	3	1	0	7	2	95	985	1326	1452	1	2515
MSTRG.14501	18	311	23	6	12	40	4	638	8361	10889	11413	31	49447
MSTRG.14502	9	161	5	1	7	17	1	344	4499	5717	6278	4	12258
MSTRG.14503	3	22	2	0	0	2	0	20	272	305	379	2	2672
MSTRG.14504	19	9	6	0	0	0	0	0	0	0	2	0	4
MSTRG.14505	0	0	0	0	0	0	0	2	6	14	7	0	42
MSTRG.14506	0	1	0	0	0	1	0	6	121	130	156	0	15
MSTRG.14507	25	24	13	28	36	51	100	159	32	80	84	615	298
MSTRG.14508	0	0	0	4	0	0	3	0	0	0	0	7	2
MSTRG.14509	939	1430	1562	1277	2510	1580	1242	2193	1293	2185	2488	8023	12119
MSTRG.14510	3723	3781	4332	5792	5650	3591	2605	4516	5255	6515	7316	31831	35386
MSTRG.14511	2	2	0	165	455	143	0	9	109	188	213	282	667
MSTRG.14512	27	53	54	68	22	75	29	62	72	116	154	911	1156
MSTRG.14513	2667	4033	2579	1333	1905	1492	467	3458	30093	48196	51371	3958	156794
MSTRG.14514	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.14515	2	0	1	4	0	0	0	1	27	20	27	0	25
MSTRG.14516	499	614	536	2191	2968	1444	630	1226	2568	3358	3675	5102	18065
MSTRG.14517	2183	3294	3863	213	297	381	645	424	98	93	191	1031	3961
MSTRG.14518	3	0	0	0	0	0	0	0	26	4	2	0	13
MSTRG.14519	297	346	422	1182	2948	1859	458	768	510	937	1094	3367	8662
MSTRG.14520	316	510	500	855	766	742	280	375	201	258	343	1242	4099
MSTRG.14521	377	323	323	841	1224	657	337	507	588	793	899	5171	2890
MSTRG.14522	264	338	279	556	560	406	189	400	515	745	961	5870	4794
MSTRG.14523	193	257	282	426	322	329	325	681	1226	1504	1797	5157	8606
MSTRG.14524	495	994	593	2571	3042	1855	652	1681	9955	13415	15276	6233	58538
MSTRG.14525	8434	12718	15201	16129	58221	17421	8553	15407	1570	3302	3497	67274	45581
MSTRG.14526	1	34	1	57	88	55	0	57	1192	1319	1667	76	3513
MSTRG.14527	39	53	47	135	174	112	27	66	65	64	80	3392	691
MSTRG.14528	605	791	514	1029	586	818	341	1044	7537	9779	11270	4936	58735
MSTRG.14529	1177	1149	1202	4429	5855	3274	1780	3334	1757	2587	2964	25534	17745
MSTRG.14530	900	564	594	2937	1291	1542	927	1030	711	969	1123	4705	8539
MSTRG.14531	3	0	0	0	0	0	1	0	0	1	0	0	0
MSTRG.14532	680	641	1016	2118	1613	2720	709	980	229	456	499	2299	10124
MSTRG.14533	10	29	3	8	10	5	1	108	1733	1529	1667	8	3650
MSTRG.14534	7	6	8	429	443	446	4	9	57	107	113	163	762
MSTRG.14535	723	683	625	1137	1173	779	1011	1371	972	999	1184	45536	6616
